,회사명,하위업종,상위업종
0,하나32호스팩,금융 지원 서비스업,서비스업
1,엔젤로보틱스,특수 목적용 기계 제조업,제조업
2,제이투케이바이오,기타 화학제품 제조업,제조업
3,삼현,자동차 신품 부품 제조업,제조업
4,오상헬스케어,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
5,케이엔알시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
6,비엔케이제2호스팩,금융 지원 서비스업,서비스업
7,하나31호스팩,금융 지원 서비스업,서비스업
8,SK증권제11호스팩,금융 지원 서비스업,서비스업
9,유안타제15호스팩,금융 지원 서비스업,서비스업
10,유진스팩10호,금융 지원 서비스업,서비스업
11,이에이트,소프트웨어 개발 및 공급업,정보기술 및 통신업
12,코셈,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
13,케이웨더,일반 목적용 기계 제조업,제조업
14,사피엔반도체,반도체 제조업,제조업
15,에스피소프트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
16,스튜디오삼익,기타 생활용품 소매업,도매 및 소매업
17,신영스팩10호,금융 지원 서비스업,서비스업
18,폰드그룹,봉제의복 제조업,제조업
19,IBKS제24호스팩,금융 지원 서비스업,서비스업
20,레이저옵텍,의료용 기기 제조업,제조업
21,이닉스,자동차 신품 부품 제조업,제조업
22,포스뱅크,일반 목적용 기계 제조업,제조업
23,현대힘스,선박 및 보트 건조업,제조업
24,HB인베스트먼트,기타 금융업,서비스업
25,드림인사이트,광고업,서비스업
26,대신밸런스제17호스팩,금융 지원 서비스업,서비스업
27,우진엔텍,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
28,한빛레이저,특수 목적용 기계 제조업,제조업
29,IBKS제23호스팩,금융 지원 서비스업,서비스업
30,하나30호스팩,금융 지원 서비스업,서비스업
31,씨싸이트,봉제의복 제조업,제조업
32,블루엠텍,기타 전문 도매업,서비스업
33,LS머트리얼즈,전자부품 제조업,제조업
34,케이엔에스,특수 목적용 기계 제조업,제조업
35,교보15호스팩,금융 지원 서비스업,서비스업
36,와이바이오로직스,자연과학 및 공학 연구개발업,제조업
37,삼성스팩9호,금융 지원 서비스업,서비스업
38,에이텀,전자부품 제조업,제조업
39,엔에이치스팩30호,금융 지원 서비스업,서비스업
40,에이에스텍,기타 화학제품 제조업,제조업
41,그린리소스,반도체 제조업,제조업
42,제이엔비,특수 목적용 기계 제조업,제조업
43,한선엔지니어링,기타 금속 가공제품 제조업,제조업
44,에코아이,기타 전문 서비스업,서비스업
45,스톰테크,플라스틱제품 제조업,제조업
46,캡스톤파트너스,기타 금융업,서비스업
47,에스와이스틸텍,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
48,에이직랜드,반도체 제조업,제조업
49,한국제13호스팩,금융 지원 서비스업,서비스업
50,메가터치,일차전지 및 축전지 제조업,제조업
51,비아이매트릭스,소프트웨어 개발 및 공급업,정보기술 및 통신업
52,컨텍,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
53,큐로셀,자연과학 및 공학 연구개발업,제조업
54,쏘닉스,반도체 제조업,제조업
55,KB제27호스팩,금융 지원 서비스업,서비스업
56,세니젠,그외 기타 제품 제조업,제조업
57,신시웨이,소프트웨어 개발 및 공급업,정보기술 및 통신업
58,유진테크놀로지,기타 금속 가공제품 제조업,제조업
59,유투바이오,기타 과학기술 서비스업,서비스업
60,퀄리타스반도체,반도체 제조업,제조업
61,워트,특수 목적용 기계 제조업,제조업
62,에스엘에스바이오,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
63,신성에스티,자동차 신품 부품 제조업,제조업
64,퓨릿,기초 화학물질 제조업,제조업
65,에이치엠씨제6호스팩,금융 지원 서비스업,서비스업
66,아이엠티,특수 목적용 기계 제조업,제조업
67,레뷰코퍼레이션,광고업,서비스업
68,신한제11호스팩,금융 지원 서비스업,서비스업
69,한싹,소프트웨어 개발 및 공급업,정보기술 및 통신업
70,밀리의서재,"서적, 잡지 및 기타 인쇄물 출판업",서비스업
71,인스웨이브시스템즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
72,우듬지팜,"과실, 채소 가공 및 저장 처리업",식품 및 음료제조업
73,코어라인소프트,소프트웨어 개발 및 공급업,정보기술 및 통신업
74,상상인제4호스팩,금융 지원 서비스업,서비스업
75,율촌,1차 철강 제조업,제조업
76,한화플러스제4호스팩,금융 지원 서비스업,서비스업
77,대신밸런스제16호스팩,금융 지원 서비스업,서비스업
78,유안타제11호스팩,금융 지원 서비스업,서비스업
79,크라우드웍스,소프트웨어 개발 및 공급업,정보기술 및 통신업
80,대신밸런스제15호스팩,금융 지원 서비스업,서비스업
81,한국제12호스팩,금융 지원 서비스업,서비스업
82,시큐레터,소프트웨어 개발 및 공급업,정보기술 및 통신업
83,스마트레이더시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
84,빅텐츠,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
85,SK증권제10호스팩,금융 지원 서비스업,서비스업
86,KB제26호스팩,금융 지원 서비스업,서비스업
87,코츠테크놀로지,컴퓨터 및 주변장치 제조업,제조업
88,큐리옥스바이오시스템즈,의료용 기기 제조업,제조업
89,하나28호스팩,금융 지원 서비스업,서비스업
90,파두,반도체 제조업,제조업
91,엠아이큐브솔루션,소프트웨어 개발 및 공급업,정보기술 및 통신업
92,시지트로닉스,반도체 제조업,제조업
93,에이엘티,반도체 제조업,제조업
94,유안타제14호스팩,금융 지원 서비스업,서비스업
95,파로스아이바이오,자연과학 및 공학 연구개발업,제조업
96,버넥트,소프트웨어 개발 및 공급업,정보기술 및 통신업
97,뷰티스킨,기타 화학제품 제조업,제조업
98,SK증권제9호스팩,금융 지원 서비스업,서비스업
99,와이랩,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
100,센서뷰,절연선 및 케이블 제조업,제조업
101,필에너지,특수 목적용 기계 제조업,제조업
102,DB금융스팩11호,기타 금융업,서비스업
103,교보14호스팩,금융 지원 서비스업,서비스업
104,이노시뮬레이션,소프트웨어 개발 및 공급업,정보기술 및 통신업
105,알멕,1차 비철금속 제조업,제조업
106,오픈놀,소프트웨어 개발 및 공급업,정보기술 및 통신업
107,시큐센,소프트웨어 개발 및 공급업,정보기술 및 통신업
108,하나29호스팩,금융 지원 서비스업,서비스업
109,KB제25호스팩,금융 지원 서비스업,서비스업
110,엔에이치스팩29호,금융 지원 서비스업,서비스업
111,하이제8호스팩,금융 지원 서비스업,서비스업
112,프로티아,의료용 기기 제조업,제조업
113,큐라티스,자연과학 및 공학 연구개발업,제조업
114,마녀공장,기타 화학제품 제조업,제조업
115,나라셀라,음·식료품 및 담배 도매업,도매 및 소매업
116,진영,플라스틱제품 제조업,제조업
117,기가비스,특수 목적용 기계 제조업,제조업
118,팸텍,특수 목적용 기계 제조업,제조업
119,모니터랩,소프트웨어 개발 및 공급업,정보기술 및 통신업
120,씨유박스,소프트웨어 개발 및 공급업,정보기술 및 통신업
121,키움제8호스팩,금융 지원 서비스업,서비스업
122,트루엔,영상 및 음향기기 제조업,제조업
123,에스바이오메딕스,의약품 제조업,식품 및 음료제조업
124,슈어소프트테크,소프트웨어 개발 및 공급업,정보기술 및 통신업
125,토마토시스템,소프트웨어 개발 및 공급업,정보기술 및 통신업
126,마이크로투나노,반도체 제조업,제조업
127,셀바이오휴먼텍,기타 섬유제품 제조업,제조업
128,미래에셋비전스팩3호,금융 지원 서비스업,서비스업
129,IBKS제22호스팩,금융 지원 서비스업,서비스업
130,하나27호스팩,금융 지원 서비스업,서비스업
131,지아이이노베이션,자연과학 및 공학 연구개발업,제조업
132,LB인베스트먼트,기타 금융업,서비스업
133,유안타제12호스팩,금융 지원 서비스업,서비스업
134,엑스게이트,소프트웨어 개발 및 공급업,정보기술 및 통신업
135,미래에셋드림스팩1호,금융 지원 서비스업,서비스업
136,금양그린파워,전기 및 통신 공사업,건설 및 공사업
137,라온텍,전자부품 제조업,제조업
138,자람테크놀로지,반도체 제조업,제조업
139,하나26호스팩,금융 지원 서비스업,서비스업
140,나노팀,일반 목적용 기계 제조업,제조업
141,바이오인프라,자연과학 및 공학 연구개발업,제조업
142,삼성스팩8호,금융 지원 서비스업,서비스업
143,유안타제13호스팩,금융 지원 서비스업,서비스업
144,미래에셋비전스팩2호,금융 지원 서비스업,서비스업
145,이노진,기타 화학제품 제조업,제조업
146,화인써키트,전자부품 제조업,제조업
147,제이오,"건축기술, 엔지니어링 및 관련 기술 서비스업",건설 및 공사업
148,샌즈랩,소프트웨어 개발 및 공급업,정보기술 및 통신업
149,꿈비,가구 제조업,제조업
150,스튜디오미르,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
151,삼기이브이,자동차 신품 부품 제조업,제조업
152,오브젠,소프트웨어 개발 및 공급업,정보기술 및 통신업
153,미래반도체,기타 전문 도매업,서비스업
154,티이엠씨,기초 화학물질 제조업,제조업
155,한주라이트메탈,1차 비철금속 제조업,제조업
156,옵티코어,마그네틱 및 광학 매체 제조업,제조업
157,신영스팩9호,금융 지원 서비스업,서비스업
158,신스틸,1차 철강 제조업,제조업
159,비엔케이제1호스팩,금융 지원 서비스업,서비스업
160,IBKS제21호스팩,금융 지원 서비스업,서비스업
161,엔에이치스팩27호,금융 지원 서비스업,서비스업
162,핑거스토리,기타 정보 서비스업,서비스업
163,SAMG엔터,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
164,대신밸런스제14호스팩,금융 지원 서비스업,서비스업
165,엔에이치스팩26호,금융 지원 서비스업,서비스업
166,유진스팩9호,금융 지원 서비스업,서비스업
167,대신밸런스제13호스팩,금융 지원 서비스업,서비스업
168,펨트론,특수 목적용 기계 제조업,제조업
169,인벤티지랩,의약품 제조업,식품 및 음료제조업
170,엔젯,특수 목적용 기계 제조업,제조업
171,유비온,소프트웨어 개발 및 공급업,정보기술 및 통신업
172,티쓰리,소프트웨어 개발 및 공급업,정보기술 및 통신업
173,티에프이,전자부품 제조업,제조업
174,윤성에프앤씨,특수 목적용 기계 제조업,제조업
175,디티앤씨알오,자연과학 및 공학 연구개발업,제조업
176,뉴로메카,특수 목적용 기계 제조업,제조업
177,제이아이테크,기타 화학제품 제조업,제조업
178,엔에이치스팩25호,금융 지원 서비스업,서비스업
179,교보13호스팩,금융 지원 서비스업,서비스업
180,큐알티,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
181,IBKS제20호스팩,금융 지원 서비스업,서비스업
182,저스템,특수 목적용 기계 제조업,제조업
183,산돌,소프트웨어 개발 및 공급업,정보기술 및 통신업
184,삼성스팩7호,금융 지원 서비스업,서비스업
185,플라즈맵,의료용 기기 제조업,제조업
186,엔에이치스팩24호,금융 지원 서비스업,서비스업
187,핀텔,소프트웨어 개발 및 공급업,정보기술 및 통신업
188,하나금융25호스팩,금융 지원 서비스업,서비스업
189,한국제11호스팩,금융 지원 서비스업,서비스업
190,샤페론,기초 의약물질 및 생물학적 제제 제조업,제조업
191,비스토스,의료용 기기 제조업,제조업
192,탑머티리얼,일차전지 및 축전지 제조업,제조업
193,에스비비테크,일반 목적용 기계 제조업,제조업
194,오에스피,동물용 사료 및 조제식품 제조업,제조업
195,모델솔루션,특수 목적용 기계 제조업,제조업
196,이노룰스,소프트웨어 개발 및 공급업,정보기술 및 통신업
197,파인엠텍,전자부품 제조업,제조업
198,SK증권제8호스팩,금융 지원 서비스업,서비스업
199,유안타제10호스팩,금융 지원 서비스업,서비스업
200,선바이오,의약품 제조업,식품 및 음료제조업
201,더블유씨피,일차전지 및 축전지 제조업,제조업
202,알피바이오,의약품 제조업,식품 및 음료제조업
203,하나금융24호스팩,금융 지원 서비스업,서비스업
204,한화플러스제3호스팩,금융 지원 서비스업,서비스업
205,오픈엣지테크놀로지,소프트웨어 개발 및 공급업,정보기술 및 통신업
206,케이비제22호스팩,금융 지원 서비스업,서비스업
207,키움제7호스팩,금융 지원 서비스업,서비스업
208,신영스팩8호,금융 지원 서비스업,서비스업
209,대성하이텍,특수 목적용 기계 제조업,제조업
210,에이치와이티씨,기타 금속 가공제품 제조업,제조업
211,새빗켐,기타 화학제품 제조업,제조업
212,유안타제9호스팩,금융 지원 서비스업,서비스업
213,신한제10호스팩,금융 지원 서비스업,서비스업
214,아이씨에이치,그외 기타 제품 제조업,제조업
215,성일하이텍,기초 화학물질 제조업,제조업
216,에이프릴바이오,자연과학 및 공학 연구개발업,제조업
217,벨로크,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
218,루닛,소프트웨어 개발 및 공급업,정보기술 및 통신업
219,HPSP,특수 목적용 기계 제조업,제조업
220,와이씨켐,기타 화학제품 제조업,제조업
221,코난테크놀로지,소프트웨어 개발 및 공급업,정보기술 및 통신업
222,넥스트칩,반도체 제조업,제조업
223,삼성스팩6호,금융 지원 서비스업,서비스업
224,엔에이치스팩23호,금융 지원 서비스업,서비스업
225,교보12호스팩,금융 지원 서비스업,서비스업
226,레이저쎌,특수 목적용 기계 제조업,제조업
227,보로노이,기초 의약물질 및 생물학적 제제 제조업,제조업
228,위니아에이드,상품 종합 도매업,도매 및 소매업
229,케이비제21호스팩,금융 지원 서비스업,서비스업
230,비플라이소프트,소프트웨어 개발 및 공급업,정보기술 및 통신업
231,범한퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
232,청담글로벌,생활용품 도매업,도매 및 소매업
233,하나금융22호스팩,금융 지원 서비스업,서비스업
234,가온칩스,반도체 제조업,제조업
235,대명에너지,건물 건설업,건설 및 공사업
236,상상인제3호스팩,금융 지원 서비스업,서비스업
237,신영스팩7호,금융 지원 서비스업,서비스업
238,포바이포,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
239,신한제9호스팩,금융 지원 서비스업,서비스업
240,미래에셋비전스팩1호,금융 지원 서비스업,서비스업
241,키움제6호스팩,금융 지원 서비스업,서비스업
242,지투파워,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
243,유진스팩8호,금융 지원 서비스업,서비스업
244,세아메카닉스,기타 금속 가공제품 제조업,제조업
245,공구우먼,의복 액세서리 제조업,제조업
246,유일로보틱스,특수 목적용 기계 제조업,제조업
247,모아데이타,소프트웨어 개발 및 공급업,정보기술 및 통신업
248,메쎄이상,기타 사업지원 서비스업,서비스업
249,노을,의료용 기기 제조업,제조업
250,비씨엔씨,반도체 제조업,제조업
251,풍원정밀,전자부품 제조업,제조업
252,스톤브릿지벤처스,기타 금융업,서비스업
253,하나금융21호스팩,금융 지원 서비스업,서비스업
254,브이씨,운동 및 경기용구 제조업,제조업
255,퓨런티어,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
256,바이오에프디엔씨,기초 의약물질 및 생물학적 제제 제조업,제조업
257,인카금융서비스,보험 및 연금관련 서비스업,서비스업
258,나래나노텍,특수 목적용 기계 제조업,제조업
259,아셈스,플라스틱제품 제조업,제조업
260,스코넥,소프트웨어 개발 및 공급업,정보기술 및 통신업
261,이지트로닉스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
262,애드바이오텍,의약품 제조업,식품 및 음료제조업
263,케이옥션,상품 중개업,서비스업
264,오토앤,자동차 부품 및 내장품 판매업,도매 및 소매업
265,래몽래인,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
266,하이제7호스팩,금융 지원 서비스업,서비스업
267,툴젠,자연과학 및 공학 연구개발업,제조업
268,마음AI,소프트웨어 개발 및 공급업,정보기술 및 통신업
269,알비더블유,오디오물 출판 및 원판 녹음업,도매 및 소매업
270,NPX,특수 목적용 기계 제조업,제조업
271,트윔,소프트웨어 개발 및 공급업,정보기술 및 통신업
272,아이티아이즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
273,지오엘리먼트,전자부품 제조업,제조업
274,디어유,소프트웨어 개발 및 공급업,정보기술 및 통신업
275,비트나인,소프트웨어 개발 및 공급업,정보기술 및 통신업
276,지니너스,자연과학 및 공학 연구개발업,제조업
277,피코그램,그외 기타 제품 제조업,제조업
278,엔켐,기초 화학물질 제조업,제조업
279,리파인,기타 정보 서비스업,서비스업
280,지앤비에스 에코,특수 목적용 기계 제조업,제조업
281,아이패밀리에스씨,기타 화학제품 제조업,제조업
282,차백신연구소,자연과학 및 공학 연구개발업,제조업
283,지아이텍,특수 목적용 기계 제조업,제조업
284,코닉오토메이션,소프트웨어 개발 및 공급업,정보기술 및 통신업
285,씨유테크,전자부품 제조업,제조업
286,아스플로,일반 목적용 기계 제조업,제조업
287,원준,특수 목적용 기계 제조업,제조업
288,엔에이치스팩20호,금융 지원 서비스업,서비스업
289,실리콘투,상품 종합 도매업,도매 및 소매업
290,에스앤디,기타 식품 제조업,식품 및 음료제조업
291,프롬바이오,기타 식품 제조업,식품 및 음료제조업
292,바이오플러스,기초 의약물질 및 생물학적 제제 제조업,제조업
293,신한제8호스팩,금융 지원 서비스업,서비스업
294,유진스팩7호,금융 지원 서비스업,서비스업
295,와이엠텍,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
296,에이비온,자연과학 및 공학 연구개발업,제조업
297,라이콤,통신 및 방송 장비 제조업,정보기술 및 통신업
298,바이젠셀,자연과학 및 공학 연구개발업,제조업
299,브레인즈컴퍼니,소프트웨어 개발 및 공급업,정보기술 및 통신업
300,딥노이드,소프트웨어 개발 및 공급업,정보기술 및 통신업
301,엠로,소프트웨어 개발 및 공급업,정보기술 및 통신업
302,플래티어,소프트웨어 개발 및 공급업,정보기술 및 통신업
303,원티드랩,소프트웨어 개발 및 공급업,정보기술 및 통신업
304,HK이노엔,의약품 제조업,식품 및 음료제조업
305,한화플러스제2호스팩,금융 지원 서비스업,서비스업
306,에브리봇,가정용 기기 제조업,제조업
307,맥스트,소프트웨어 개발 및 공급업,정보기술 및 통신업
308,큐라클,자연과학 및 공학 연구개발업,제조업
309,오비고,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
310,아모센스,전자부품 제조업,제조업
311,이노뎁,소프트웨어 개발 및 공급업,정보기술 및 통신업
312,라온테크,특수 목적용 기계 제조업,제조업
313,LB루셈,반도체 제조업,제조업
314,에이디엠코리아,자연과학 및 공학 연구개발업,제조업
315,에코프로에이치엔,기타 화학제품 제조업,제조업
316,제주맥주,알코올음료 제조업,식품 및 음료제조업
317,진시스템,의료용 기기 제조업,제조업
318,삼영에스앤씨,전자부품 제조업,제조업
319,샘씨엔에스,전자부품 제조업,제조업
320,씨앤씨인터내셔널,기타 화학제품 제조업,제조업
321,에이치피오,기타 식품 제조업,식품 및 음료제조업
322,쿠콘,소프트웨어 개발 및 공급업,정보기술 및 통신업
323,이삭엔지니어링,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
324,해성티피씨,기타 금속 가공제품 제조업,제조업
325,엔시스,기타 전기장비 제조업,정보기술 및 통신업
326,자이언트스텝,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
327,제노코,통신 및 방송 장비 제조업,정보기술 및 통신업
328,라이프시맨틱스,소프트웨어 개발 및 공급업,정보기술 및 통신업
329,바이오다인,의료용 기기 제조업,제조업
330,네오이뮨텍,자연과학 및 공학 연구개발업,제조업
331,싸이버원,소프트웨어 개발 및 공급업,정보기술 및 통신업
332,프레스티지바이오로직스,의약품 제조업,식품 및 음료제조업
333,나노씨엠에스,전자부품 제조업,제조업
334,뷰노,소프트웨어 개발 및 공급업,정보기술 및 통신업
335,하인크코리아,그외 기타 제품 제조업,제조업
336,유일에너테크,특수 목적용 기계 제조업,제조업
337,씨이랩,소프트웨어 개발 및 공급업,정보기술 및 통신업
338,오로스테크놀로지,특수 목적용 기계 제조업,제조업
339,피엔에이치테크,기초 화학물질 제조업,제조업
340,모비데이즈,광고업,서비스업
341,아이퀘스트,소프트웨어 개발 및 공급업,정보기술 및 통신업
342,레인보우로보틱스,특수 목적용 기계 제조업,제조업
343,와이더플래닛,소프트웨어 개발 및 공급업,정보기술 및 통신업
344,핑거,소프트웨어 개발 및 공급업,정보기술 및 통신업
345,모비릭스,소프트웨어 개발 및 공급업,정보기술 및 통신업
346,씨앤투스,기타 섬유제품 제조업,제조업
347,선진뷰티사이언스,기타 화학제품 제조업,제조업
348,엔비티,광고업,서비스업
349,파이버프로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
350,블리츠웨이,"인형,장난감 및 오락용품 제조업",제조업
351,석경에이티,기초 화학물질 제조업,제조업
352,지놈앤컴퍼니,기초 의약물질 및 생물학적 제제 제조업,제조업
353,프리시젼바이오,의료용 기기 제조업,제조업
354,알체라,소프트웨어 개발 및 공급업,정보기술 및 통신업
355,하이딥,반도체 제조업,제조업
356,에프앤가이드,기타 정보 서비스업,서비스업
357,티엘비,전자부품 제조업,제조업
358,인바이오,"비료, 농약 및 살균, 살충제 제조업",제조업
359,엔젠바이오,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
360,퀀타매트릭스,의료용 기기 제조업,제조업
361,클리노믹스,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
362,포인트모바일,컴퓨터 및 주변장치 제조업,제조업
363,앱코,컴퓨터 및 주변장치 제조업,제조업
364,엔에프씨,기타 화학제품 제조업,제조업
365,제일전기공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
366,하나기술,특수 목적용 기계 제조업,제조업
367,티앤엘,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
368,고바이오랩,자연과학 및 공학 연구개발업,제조업
369,네패스아크,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
370,소룩스,전구 및 조명장치 제조업,제조업
371,위드텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
372,센코,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
373,바이브컴퍼니,소프트웨어 개발 및 공급업,정보기술 및 통신업
374,미코바이오메드,의료용 기기 제조업,제조업
375,피플바이오,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
376,넥스틴,특수 목적용 기계 제조업,제조업
377,케이엔솔,일반 목적용 기계 제조업,제조업
378,비나텍,일차전지 및 축전지 제조업,제조업
379,씨엔알리서치,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
380,박셀바이오,자연과학 및 공학 연구개발업,제조업
381,비비씨,그외 기타 제품 제조업,제조업
382,코스텍시스,반도체 제조업,제조업
383,핌스,전자부품 제조업,제조업
384,압타머사이언스,자연과학 및 공학 연구개발업,제조업
385,이오플로우,의료용 기기 제조업,제조업
386,카카오게임즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
387,피엔케이피부임상연구센타,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
388,아이디피,컴퓨터 및 주변장치 제조업,제조업
389,셀레믹스,기초 의약물질 및 생물학적 제제 제조업,제조업
390,고스트스튜디오,소프트웨어 개발 및 공급업,정보기술 및 통신업
391,브랜드엑스코퍼레이션,기타 정보 서비스업,서비스업
392,영림원소프트랩,소프트웨어 개발 및 공급업,정보기술 및 통신업
393,한국파마,의약품 제조업,식품 및 음료제조업
394,솔브레인,기타 화학제품 제조업,제조업
395,이루다,의료용 기기 제조업,제조업
396,와이팜,전자부품 제조업,제조업
397,에코앤드림,기타 화학제품 제조업,제조업
398,엠투아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
399,더네이쳐홀딩스,의복 액세서리 제조업,제조업
400,제놀루션,기초 의약물질 및 생물학적 제제 제조업,제조업
401,솔트룩스,소프트웨어 개발 및 공급업,정보기술 및 통신업
402,티에스아이,특수 목적용 기계 제조업,제조업
403,에이프로,기타 전기장비 제조업,정보기술 및 통신업
404,소마젠,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
405,신도기연,특수 목적용 기계 제조업,제조업
406,위더스제약,의약품 제조업,식품 및 음료제조업
407,엠브레인,시장조사 및 여론조사업,서비스업
408,젠큐릭스,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
409,HB솔루션,특수 목적용 기계 제조업,제조업
410,에스에이티이엔지,특수 목적용 기계 제조업,제조업
411,에스씨엠생명과학,의약품 제조업,식품 및 음료제조업
412,휴럼,기타 식품 제조업,식품 및 음료제조업
413,이지바이오,동물용 사료 및 조제식품 제조업,제조업
414,드림씨아이에스,자연과학 및 공학 연구개발업,제조업
415,엔피디,전자부품 제조업,제조업
416,플레이디,광고업,서비스업
417,서울바이오시스,반도체 제조업,제조업
418,제이앤티씨,전자부품 제조업,제조업
419,켄코아에어로스페이스,"항공기,우주선 및 부품 제조업",제조업
420,레몬,화학섬유 제조업,제조업
421,서남,기타 전기장비 제조업,정보기술 및 통신업
422,위세아이텍,소프트웨어 개발 및 공급업,정보기술 및 통신업
423,세림B&G,플라스틱제품 제조업,제조업
424,CJ 바이오사이언스,자연과학 및 공학 연구개발업,제조업
425,피피아이,통신 및 방송 장비 제조업,정보기술 및 통신업
426,RF머트리얼즈,전자부품 제조업,제조업
427,아이비김영,일반 교습 학원,서비스업
428,브릿지바이오,기초 의약물질 및 생물학적 제제 제조업,제조업
429,다보링크,통신 및 방송 장비 제조업,정보기술 및 통신업
430,메드팩토,자연과학 및 공학 연구개발업,제조업
431,원텍,의료용 기기 제조업,제조업
432,신테카바이오,소프트웨어 개발 및 공급업,정보기술 및 통신업
433,제이엘케이,소프트웨어 개발 및 공급업,정보기술 및 통신업
434,태웅로직스,기타 운송관련 서비스업,운송 및 물류업
435,윙스풋,"섬유, 의복, 신발 및 가죽제품 소매업",도매 및 소매업
436,리메드,의료용 기기 제조업,제조업
