,회사명,하위업종,상위업종
863,기가레인,특수 목적용 기계 제조업,제조업
864,인트로메딕,의료용 기기 제조업,제조업
865,알티캐스트,소프트웨어 개발 및 공급업,정보기술 및 통신업
866,현대공업,자동차 신품 부품 제조업,제조업
867,엔브이에이치코리아,자동차 신품 부품 제조업,제조업
868,탑코미디어,통신 및 방송 장비 제조업,정보기술 및 통신업
869,큐브엔터,오디오물 출판 및 원판 녹음업,도매 및 소매업
870,라이온켐텍,기타 화학제품 제조업,제조업
871,램테크놀러지,기초 화학물질 제조업,제조업
872,THE MIDONG,영상 및 음향기기 제조업,제조업
873,협진,특수 목적용 기계 제조업,제조업
874,해성옵틱스,사진장비 및 광학기기 제조업,제조업
875,내츄럴엔도텍,자연과학 및 공학 연구개발업,제조업
876,두산테스나,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
877,파수,소프트웨어 개발 및 공급업,정보기술 및 통신업
878,엘티씨,기초 화학물질 제조업,제조업
879,지엔씨에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
880,아미코젠,기타 식품 제조업,식품 및 음료제조업
881,GH신소재,기타 섬유제품 제조업,제조업
882,파이오링크,통신 및 방송 장비 제조업,정보기술 및 통신업
883,KG ETS,기타 화학제품 제조업,제조업
884,나스미디어,광고업,서비스업
885,엑세스바이오,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
886,레고켐바이오,자연과학 및 공학 연구개발업,제조업
887,윈팩,반도체 제조업,제조업
888,코렌텍,의료용 기기 제조업,제조업
889,제로투세븐,생활용품 도매업,도매 및 소매업
890,한솔아이원스,특수 목적용 기계 제조업,제조업
891,우리이앤엘,반도체 제조업,제조업
892,아이센스,의료용 기기 제조업,제조업
893,스킨앤스킨,기타 화학제품 제조업,제조업
894,SBI핀테크솔루션즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
895,우리로,기타 전문 도매업,서비스업
896,디젠스,자동차 신품 부품 제조업,제조업
897,와이엠씨,전자부품 제조업,제조업
898,아바텍,전자부품 제조업,제조업
899,코이즈,플라스틱제품 제조업,제조업
900,SBW생명과학,전자부품 제조업,제조업
901,네이블커뮤니케이션즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
902,노블엠앤비,사진장비 및 광학기기 제조업,제조업
903,피엔티,특수 목적용 기계 제조업,제조업
904,비아트론,특수 목적용 기계 제조업,제조업
905,빛샘전자,전자부품 제조업,제조업
906,사람인,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보기술 및 통신업
907,제룡산업,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
908,남화토건,건물 건설업,건설 및 공사업
909,메지온,자연과학 및 공학 연구개발업,제조업
910,원익머트리얼즈,기초 화학물질 제조업,제조업
911,디엔에이링크,자연과학 및 공학 연구개발업,제조업
912,나이스디앤비,기타 사업지원 서비스업,서비스업
913,시큐브,소프트웨어 개발 및 공급업,정보기술 및 통신업
914,서암기계공업,일반 목적용 기계 제조업,제조업
915,씨유메디칼,의료용 기기 제조업,제조업
916,키네마스터,소프트웨어 개발 및 공급업,정보기술 및 통신업
917,비덴트,통신 및 방송 장비 제조업,정보기술 및 통신업
918,신진에스엠,기타 금속 가공제품 제조업,제조업
919,이엠넷,광고업,서비스업
920,와이지엔터테인먼트,오디오물 출판 및 원판 녹음업,도매 및 소매업
921,스마트솔루션즈,특수 목적용 기계 제조업,제조업
922,에이티세미콘,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
923,테크윙,특수 목적용 기계 제조업,제조업
924,씨큐브,기초 화학물질 제조업,제조업
925,에스엠코어,일반 목적용 기계 제조업,제조업
926,씨엔플러스,전자부품 제조업,제조업
927,로보스타,특수 목적용 기계 제조업,제조업
928,대한과학,기계장비 및 관련 물품 도매업,도매 및 소매업
929,아이디스,통신 및 방송 장비 제조업,정보기술 및 통신업
930,제이씨케미칼,기타 화학제품 제조업,제조업
931,아이씨디,특수 목적용 기계 제조업,제조업
932,제닉,기타 화학제품 제조업,제조업
933,BF랩스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
934,상아프론테크,플라스틱제품 제조업,제조업
935,나이벡,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
936,옵티시스,통신 및 방송 장비 제조업,정보기술 및 통신업
937,대양전기공업,선박 및 보트 건조업,제조업
938,서연탑메탈,특수 목적용 기계 제조업,제조업
939,넥스트아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
940,티엔엔터테인먼트,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
941,KX,텔레비전 방송업,서비스업
942,골프존뉴딘홀딩스,상품 중개업,서비스업
943,윈스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
944,하림,"도축, 육류 가공 및 저장 처리업",식품 및 음료제조업
945,이퓨쳐,"서적, 잡지 및 기타 인쇄물 출판업",서비스업
946,티케이케미칼,화학섬유 제조업,제조업
947,부스타,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
948,나노신소재,기타 화학제품 제조업,제조업
949,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보기술 및 통신업
950,티피씨글로벌,자동차 신품 부품 제조업,제조업
951,LB세미콘,반도체 제조업,제조업
952,딜리,컴퓨터 및 주변장치 제조업,제조업
953,제이엔케이히터,일반 목적용 기계 제조업,제조업
954,블루콤,영상 및 음향기기 제조업,제조업
955,인트론바이오,기초 의약물질 및 생물학적 제제 제조업,제조업
956,커넥트웨이브,소프트웨어 개발 및 공급업,정보기술 및 통신업
957,알서포트,소프트웨어 개발 및 공급업,정보기술 및 통신업
958,인텍플러스,특수 목적용 기계 제조업,제조업
959,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
960,이브이첨단소재,전자부품 제조업,제조업
961,대정화금,기초 화학물질 제조업,제조업
962,피제이메탈,1차 비철금속 제조업,제조업
963,옵투스제약,의약품 제조업,식품 및 음료제조업
964,에이루트,컴퓨터 및 주변장치 제조업,제조업
965,티비씨,텔레비전 방송업,서비스업
966,시그네틱스,반도체 제조업,제조업
967,한국전자인증,소프트웨어 개발 및 공급업,정보기술 및 통신업
968,BGF에코머티리얼즈,합성고무 및 플라스틱 물질 제조업,제조업
969,디케이락,일반 목적용 기계 제조업,제조업
970,위메이드플레이,소프트웨어 개발 및 공급업,정보기술 및 통신업
971,KH 전자,영상 및 음향기기 제조업,제조업
972,아나패스,반도체 제조업,제조업
973,KNN,텔레비전 방송업,서비스업
974,누리플랜,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
975,아이텍,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
976,인화정공,선박 및 보트 건조업,제조업
977,셀피글로벌,전자부품 제조업,제조업
978,뉴온,특수 목적용 기계 제조업,제조업
979,알파홀딩스,반도체 제조업,제조업
980,포메탈,기타 금속 가공제품 제조업,제조업
981,다원시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
982,씨젠,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
983,와이솔,전자부품 제조업,제조업
984,하이비젼시스템,사진장비 및 광학기기 제조업,제조업
985,화신정공,자동차 신품 부품 제조업,제조업
986,코리아에프티,자동차 신품 부품 제조업,제조업
987,엠에스오토텍,자동차 신품 부품 제조업,제조업
988,이글루,기타 정보 서비스업,서비스업
989,인터로조,의료용 기기 제조업,제조업
990,하이텍팜,기초 의약물질 및 생물학적 제제 제조업,제조업
991,에스디시스템,전자부품 제조업,제조업
992,알톤스포츠,그외 기타 운송장비 제조업,제조업
993,유비벨록스,소프트웨어 개발 및 공급업,정보기술 및 통신업
994,오르비텍,기타 과학기술 서비스업,서비스업
995,엑스큐어,소프트웨어 개발 및 공급업,정보기술 및 통신업
996,투비소프트,소프트웨어 개발 및 공급업,정보기술 및 통신업
997,인피니트헬스케어,소프트웨어 개발 및 공급업,정보기술 및 통신업
998,서진오토모티브,자동차 신품 부품 제조업,제조업
999,인지소프트,소프트웨어 개발 및 공급업,정보기술 및 통신업
1000,이스트아시아홀딩스,기타 금융업,서비스업
1001,애머릿지,자동차 부품 및 내장품 판매업,도매 및 소매업
1002,케이씨에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1003,씨엑스아이,기타 금융업,서비스업
1004,HLB테라퓨틱스,기타 전문 도매업,서비스업
1005,삼기,자동차 신품 부품 제조업,제조업
1006,이미지스,반도체 제조업,제조업
1007,인포바인,전기 통신업,정보기술 및 통신업
1008,하이소닉,전자부품 제조업,제조업
1009,모베이스,통신 및 방송 장비 제조업,정보기술 및 통신업
1010,스타플렉스,플라스틱제품 제조업,제조업
1011,우리넷,통신 및 방송 장비 제조업,정보기술 및 통신업
1012,아세아텍,특수 목적용 기계 제조업,제조업
1013,폴라리스우노,화학섬유 제조업,제조업
1014,코디,기타 화학제품 제조업,제조업
1015,글로벌에스엠,기타 금융업,서비스업
1016,ITX-AI,영상 및 음향기기 제조업,제조업
1017,그린생명과학,기초 의약물질 및 생물학적 제제 제조업,제조업
1018,디와이피엔에프,일반 목적용 기계 제조업,제조업
1019,위메이드,소프트웨어 개발 및 공급업,정보기술 및 통신업
1020,셀바스AI,소프트웨어 개발 및 공급업,정보기술 및 통신업
1021,이원컴포텍,자동차 신품 부품 제조업,제조업
1022,강원에너지,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
1023,휴맥스,영상 및 음향기기 제조업,제조업
1024,에이프로젠 H&G,기타 전문 도매업,서비스업
1025,동방선기,선박 및 보트 건조업,제조업
1026,상상인인더스트리,특수 목적용 기계 제조업,제조업
1027,진매트릭스,자연과학 및 공학 연구개발업,제조업
1028,비츠로셀,일차전지 및 축전지 제조업,제조업
1029,한스바이오메드,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
1030,NHN벅스,소프트웨어 개발 및 공급업,정보기술 및 통신업
1031,아이앤씨,반도체 제조업,제조업
1032,케이엔더블유,자동차 신품 부품 제조업,제조업
1033,디에스케이,특수 목적용 기계 제조업,제조업
1034,제넥신,자연과학 및 공학 연구개발업,제조업
1035,톱텍,특수 목적용 기계 제조업,제조업
1036,동국S&C,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
1037,에스앤더블류,일반 목적용 기계 제조업,제조업
1038,컴투스홀딩스,소프트웨어 개발 및 공급업,정보기술 및 통신업
1039,동일금속,금속 주조업,제조업
1040,어보브반도체,반도체 제조업,제조업
1041,위메이드맥스,소프트웨어 개발 및 공급업,정보기술 및 통신업
1042,이엔에프테크놀로지,기타 화학제품 제조업,제조업
1043,스맥,특수 목적용 기계 제조업,제조업
1044,SDN,기계장비 및 관련 물품 도매업,도매 및 소매업
1045,한국정밀기계,특수 목적용 기계 제조업,제조업
1046,흥국,특수 목적용 기계 제조업,제조업
1047,우림피티에스,일반 목적용 기계 제조업,제조업
1048,티플랙스,기타 금속 가공제품 제조업,제조업
1049,에스티오,봉제의복 제조업,제조업
1050,에이테크솔루션,특수 목적용 기계 제조업,제조업
1051,에스앤에스텍,전자부품 제조업,제조업
1052,뷰웍스,의료용 기기 제조업,제조업
1053,코오롱생명과학,기초 의약물질 및 생물학적 제제 제조업,제조업
1054,엔시트론,반도체 제조업,제조업
1055,파인테크닉스,전구 및 조명장치 제조업,제조업
1056,이수앱지스,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
1057,대성파인텍,자동차 신품 부품 제조업,제조업
1058,유비쿼스홀딩스,기타 금융업,서비스업
1059,메디톡스,기초 의약물질 및 생물학적 제제 제조업,제조업
1060,엠게임,소프트웨어 개발 및 공급업,정보기술 및 통신업
1061,아이컴포넌트,전자부품 제조업,제조업
1062,HLB생명과학,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
1063,이크레더블,기타 정보 서비스업,서비스업
1064,세운메디칼,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
1065,마이크로컨텍솔,전자부품 제조업,제조업
1066,이엠앤아이,기초 화학물질 제조업,제조업
1067,아이엠,전자부품 제조업,제조업
1068,웰크론한텍,건물 건설업,건설 및 공사업
1069,하이드로리튬,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
1070,슈프리마에이치큐,통신 및 방송 장비 제조업,정보기술 및 통신업
1071,서울옥션,상품 중개업,서비스업
1072,이스트소프트,소프트웨어 개발 및 공급업,정보기술 및 통신업
1073,크레버스,일반 교습 학원,서비스업
1074,월덱스,전자부품 제조업,제조업
1075,쎄트렉아이,"항공기,우주선 및 부품 제조업",제조업
1076,브리지텍,소프트웨어 개발 및 공급업,정보기술 및 통신업
1077,고영,특수 목적용 기계 제조업,제조업
1078,조이시티,소프트웨어 개발 및 공급업,정보기술 및 통신업
1079,우진비앤지,의약품 제조업,식품 및 음료제조업
1080,테스,특수 목적용 기계 제조업,제조업
1081,예스24,무점포 소매업,도매 및 소매업
1082,엘디티,반도체 제조업,제조업
1083,메타바이오메드,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
1084,효성오앤비,"비료, 농약 및 살균, 살충제 제조업",제조업
1085,한울소재과학,통신 및 방송 장비 제조업,정보기술 및 통신업
1086,이트론,기타 전문 도매업,서비스업
1087,에코볼트,자동차 신품 부품 제조업,제조업
1088,에스코넥,통신 및 방송 장비 제조업,정보기술 및 통신업
1089,일신바이오,일반 목적용 기계 제조업,제조업
1090,서원인텍,통신 및 방송 장비 제조업,정보기술 및 통신업
1091,이씨에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1092,대창솔루션,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
1093,아이에스이커머스,무점포 소매업,도매 및 소매업
1094,알에프세미,반도체 제조업,제조업
1095,디엔에프,기타 화학제품 제조업,제조업
1096,일진파워,전기 및 통신 공사업,건설 및 공사업
1097,비엠티,일반 목적용 기계 제조업,제조업
1098,이엠코리아,기타 금속 가공제품 제조업,제조업
1099,현우산업,전자부품 제조업,제조업
1100,케이알엠,반도체 제조업,제조업
1101,에스에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1102,성우전자,통신 및 방송 장비 제조업,정보기술 및 통신업
1103,엘엠에스,전자부품 제조업,제조업
1104,제이엠티,전자부품 제조업,제조업
1105,오디텍,반도체 제조업,제조업
1106,ISC,기계장비 및 관련 물품 도매업,도매 및 소매업
1107,네오티스,자동차 신품 부품 제조업,제조업
1108,미래나노텍,플라스틱제품 제조업,제조업
1109,상보,플라스틱제품 제조업,제조업
1110,바이오톡스텍,자연과학 및 공학 연구개발업,제조업
1111,옴니시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
1112,푸른기술,컴퓨터 및 주변장치 제조업,제조업
1113,웨이브일렉트로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
1114,빅솔론,컴퓨터 및 주변장치 제조업,제조업
1115,S&K폴리텍,전자부품 제조업,제조업
1116,율호,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1117,갤럭시아머니트리,소프트웨어 개발 및 공급업,정보기술 및 통신업
1118,에코프로,기타 금융업,서비스업
1119,대산F&B,음·식료품 및 담배 도매업,도매 및 소매업
1120,컴투스,소프트웨어 개발 및 공급업,정보기술 및 통신업
1121,네오위즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
1122,앤씨앤,반도체 제조업,제조업
1123,엔텔스,소프트웨어 개발 및 공급업,정보기술 및 통신업
1124,풍강,기타 금속 가공제품 제조업,제조업
1125,동국제약,의약품 제조업,식품 및 음료제조업
1126,케이프,선박 및 보트 건조업,제조업
1127,상신이디피,일차전지 및 축전지 제조업,제조업
1128,한라IMS,선박 및 보트 건조업,제조업
1129,에프알텍,통신 및 방송 장비 제조업,정보기술 및 통신업
1130,이엠텍,전자부품 제조업,제조업
1131,참좋은여행,여행사 및 기타 여행보조 서비스업,서비스업
1132,네오리진,소프트웨어 개발 및 공급업,정보기술 및 통신업
1133,이베스트투자증권,금융 지원 서비스업,서비스업
1134,매커스,기계장비 및 관련 물품 도매업,도매 및 소매업
1135,나노캠텍,플라스틱제품 제조업,제조업
1136,네오팜,기타 화학제품 제조업,제조업
1137,오스코텍,의약품 제조업,식품 및 음료제조업
1138,켐트로닉스,기타 화학제품 제조업,제조업
1139,제이스텍,특수 목적용 기계 제조업,제조업
1140,동아엘텍,특수 목적용 기계 제조업,제조업
1141,휴온스글로벌,의약품 제조업,식품 및 음료제조업
1142,케이씨티,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1143,파트론,전자부품 제조업,제조업
1144,유니테스트,특수 목적용 기계 제조업,제조업
1145,휴림로봇,특수 목적용 기계 제조업,제조업
1146,에스에이티,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
1147,큐에스아이,반도체 제조업,제조업
1148,멀티캠퍼스,기타 교육기관,서비스업
1149,코세스,특수 목적용 기계 제조업,제조업
1150,성창오토텍,자동차 신품 부품 제조업,제조업
1151,넥스턴바이오,특수 목적용 기계 제조업,제조업
1152,제이티,특수 목적용 기계 제조업,제조업
1153,아이윈,자동차 신품 부품 제조업,제조업
1154,이녹스,그외 기타 운송장비 제조업,제조업
1155,THE E&M,기타 정보 서비스업,서비스업
1156,바텍,의료용 기기 제조업,제조업
1157,MDS테크,소프트웨어 개발 및 공급업,정보기술 및 통신업
1158,루멘스,반도체 제조업,제조업
1159,CSA 코스믹,기타 화학제품 제조업,제조업
1160,티엘아이,반도체 제조업,제조업
1161,한국전자금융,기타 사업지원 서비스업,서비스업
1162,쇼박스,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
1163,팬엔터테인먼트,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
1164,인포뱅크,기타 정보 서비스업,서비스업
1165,아이오케이,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
1166,동우팜투테이블,"도축, 육류 가공 및 저장 처리업",식품 및 음료제조업
1167,제이브이엠,일반 목적용 기계 제조업,제조업
1168,팅크웨어,통신 및 방송 장비 제조업,정보기술 및 통신업
1169,진바이오텍,산업용 농·축산물 및 동·식물 도매업,도매 및 소매업
1170,TKG애강,플라스틱제품 제조업,제조업
1171,에이스테크,통신 및 방송 장비 제조업,정보기술 및 통신업
1172,셀트리온제약,의약품 제조업,식품 및 음료제조업
1173,GST,특수 목적용 기계 제조업,제조업
1174,에너토크,일반 목적용 기계 제조업,제조업
1175,제우스,특수 목적용 기계 제조업,제조업
1176,뉴프렉스,전자부품 제조업,제조업
1177,유진테크,특수 목적용 기계 제조업,제조업
1178,CG인바이츠,자연과학 및 공학 연구개발업,제조업
1179,바이오니아,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
1180,헬릭스미스,자연과학 및 공학 연구개발업,제조업
1181,인콘,상품 종합 도매업,도매 및 소매업
1182,차바이오텍,기초 의약물질 및 생물학적 제제 제조업,제조업
1183,대봉엘에스,의약품 제조업,식품 및 음료제조업
1184,와이엔텍,폐기물 처리업,운송 및 물류업
1185,케이엠,기타 섬유제품 제조업,제조업
1186,수성웹툰,일반 목적용 기계 제조업,제조업
1187,모다이노칩,"섬유, 의복, 신발 및 가죽제품 소매업",도매 및 소매업
1188,비에이치아이,일반 목적용 기계 제조업,제조업
1189,케스피온,통신 및 방송 장비 제조업,정보기술 및 통신업
1190,비보존 제약,의약품 제조업,식품 및 음료제조업
1191,자연과환경,"시멘트, 석회, 플라스터 및 그 제품 제조업",건설 및 공사업
1192,와토스코리아,플라스틱제품 제조업,제조업
1193,폴라리스오피스,소프트웨어 개발 및 공급업,정보기술 및 통신업
1194,휴림에이텍,자동차 신품 부품 제조업,제조업
1195,서린바이오,기타 전문 도매업,서비스업
1196,가비아,소프트웨어 개발 및 공급업,정보기술 및 통신업
1197,덕산하이메탈,반도체 제조업,제조업
1198,아바코,특수 목적용 기계 제조업,제조업
1199,하나마이크론,반도체 제조업,제조업
1200,엘오티베큠,특수 목적용 기계 제조업,제조업
1201,코스나인,기타 화학제품 제조업,제조업
1202,이상네트웍스,상품 중개업,서비스업
1203,아리온,통신 및 방송 장비 제조업,정보기술 및 통신업
1204,메디포스트,기초 의약물질 및 생물학적 제제 제조업,제조업
1205,우리바이오,전구 및 조명장치 제조업,제조업
1206,모두투어,여행사 및 기타 여행보조 서비스업,서비스업
1207,가온그룹,통신 및 방송 장비 제조업,정보기술 및 통신업
1208,쏠리드,통신 및 방송 장비 제조업,정보기술 및 통신업
1209,옵트론텍,사진장비 및 광학기기 제조업,제조업
1210,젬백스,특수 목적용 기계 제조업,제조업
1211,플랜티넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1212,이노와이어리스,통신 및 방송 장비 제조업,정보기술 및 통신업
1213,인베니아,특수 목적용 기계 제조업,제조업
1214,동양이엔피,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1215,제주반도체,반도체 제조업,제조업
1216,한창산업,1차 비철금속 제조업,제조업
1217,디이엔티,특수 목적용 기계 제조업,제조업
1218,에스엔유,특수 목적용 기계 제조업,제조업
1219,iMBC,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보기술 및 통신업
1220,서산,"시멘트, 석회, 플라스터 및 그 제품 제조업",건설 및 공사업
1221,KX하이텍,플라스틱제품 제조업,제조업
1222,손오공,기타 전문 도매업,서비스업
1223,미래컴퍼니,특수 목적용 기계 제조업,제조업
1224,아이크래프트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1225,메가스터디,"서적, 잡지 및 기타 인쇄물 출판업",서비스업
1226,케이에스피,일반 목적용 기계 제조업,제조업
1227,KG모빌리언스,소프트웨어 개발 및 공급업,정보기술 및 통신업
1228,대주전자재료,전자부품 제조업,제조업
1229,텔레칩스,반도체 제조업,제조업
1230,HB테크놀러지,특수 목적용 기계 제조업,제조업
1231,도이치모터스,자동차 판매업,도매 및 소매업
1232,토비스,영상 및 음향기기 제조업,제조업
1233,제넨바이오,생활용품 도매업,도매 및 소매업
1234,국일제지,기타 종이 및 판지 제품 제조업,제조업
1235,DMS,특수 목적용 기계 제조업,제조업
1236,퀀타피아,생활용품 도매업,도매 및 소매업
1237,시너지이노베이션,의료용 기기 제조업,제조업
1238,신성델타테크,가정용 기기 제조업,제조업
1239,한국경제TV,텔레비전 방송업,서비스업
1240,다날,소프트웨어 개발 및 공급업,정보기술 및 통신업
1241,형지I&C,봉제의복 제조업,제조업
1242,비케이홀딩스,전자부품 제조업,제조업
1243,코엔텍,폐기물 처리업,운송 및 물류업
1244,YBM넷,교육지원 서비스업,서비스업
1245,CS,통신 및 방송 장비 제조업,정보기술 및 통신업
1246,아미노로직스,기타 전문 도매업,서비스업
1247,테라젠이텍스,의약품 제조업,식품 및 음료제조업
1248,디에이피,전자부품 제조업,제조업
1249,한양디지텍,반도체 제조업,제조업
1250,동국알앤에스,기타 비금속 광물제품 제조업,제조업
1251,라이트론,통신 및 방송 장비 제조업,정보기술 및 통신업
1252,듀오백,가구 제조업,제조업
1253,삼진엘앤디,그외 기타 제품 제조업,제조업
1254,에스텍파마,의약품 제조업,식품 및 음료제조업
1255,세진티에스,전자부품 제조업,제조업
1256,한솔인티큐브,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1257,리튬포어스,그외 기타 제품 제조업,제조업
1258,테라사이언스,기타 금속 가공제품 제조업,제조업
1259,우주일렉트로,전자부품 제조업,제조업
1260,피에이치씨,"섬유, 의복, 신발 및 가죽제품 소매업",도매 및 소매업
1261,드림어스컴퍼니,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보기술 및 통신업
1262,버킷스튜디오,전기 통신업,정보기술 및 통신업
1263,아프리카TV,소프트웨어 개발 및 공급업,정보기술 및 통신업
1264,원익QnC,유리 및 유리제품 제조업,제조업
1265,로체시스템즈,특수 목적용 기계 제조업,제조업
1266,에스텍,영상 및 음향기기 제조업,제조업
1267,오텍,자동차 재제조 부품 제조업,제조업
1268,키이스트,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
1269,현대에버다임,특수 목적용 기계 제조업,제조업
1270,중앙백신,기초 의약물질 및 생물학적 제제 제조업,제조업
1271,휴비츠,의료용 기기 제조업,제조업
1272,우리산업홀딩스,자동차 신품 부품 제조업,제조업
1273,디지털대성,일반 교습 학원,서비스업
1274,유아이디,전자부품 제조업,제조업
1275,티씨케이,기타 비금속 광물제품 제조업,제조업
1276,아모텍,전자부품 제조업,제조업
1277,웰크론,직물직조 및 직물제품 제조업,제조업
1278,파워로직스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1279,이라이콤,상품 중개업,서비스업
1280,녹원씨엔아이,인쇄 및 인쇄관련 산업,서비스업
1281,홈캐스트,영상 및 음향기기 제조업,제조업
1282,씨씨에스,텔레비전 방송업,서비스업
1283,웹젠,소프트웨어 개발 및 공급업,정보기술 및 통신업
1284,대화제약,의약품 제조업,식품 및 음료제조업
1285,우수AMS,자동차 신품 부품 제조업,제조업
1286,JW신약,의약품 제조업,식품 및 음료제조업
1287,하츠,가정용 기기 제조업,제조업
1288,빅텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
1289,탑엔지니어링,특수 목적용 기계 제조업,제조업
