,회사명,하위업종,상위업종
1290,이루온,소프트웨어 개발 및 공급업,정보기술 및 통신업
1291,재영솔루텍,사진장비 및 광학기기 제조업,제조업
1292,한국큐빅,플라스틱제품 제조업,제조업
1293,인터플렉스,전자부품 제조업,제조업
1294,메디프론,기계장비 및 관련 물품 도매업,도매 및 소매업
1295,삼영이엔씨,통신 및 방송 장비 제조업,정보기술 및 통신업
1296,한성크린텍,"건축기술, 엔지니어링 및 관련 기술 서비스업",건설 및 공사업
1297,리더스코스메틱,기타 화학제품 제조업,제조업
1298,케이피엠테크,기타 화학제품 제조업,제조업
1299,디스플레이텍,전자부품 제조업,제조업
1300,와이오엠,기타 전문 도매업,서비스업
1301,초록뱀미디어,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
1302,웨스트라이즈,상품 종합 도매업,도매 및 소매업
1303,쎌바이오텍,기초 의약물질 및 생물학적 제제 제조업,제조업
1304,NE능률,"서적, 잡지 및 기타 인쇄물 출판업",서비스업
1305,테크엘,반도체 제조업,제조업
1306,KG이니시스,소프트웨어 개발 및 공급업,정보기술 및 통신업
1307,비엘팜텍,음·식료품 및 담배 도매업,도매 및 소매업
1308,파라다이스,유원지 및 기타 오락관련 서비스업,서비스업
1309,플래스크,실내건축 및 건축마무리 공사업,건설 및 공사업
1310,새로닉스,전자부품 제조업,제조업
1311,오리엔트정공,자동차 신품 부품 제조업,제조업
1312,DGP,전기업,정보기술 및 통신업
1313,국보디자인,실내건축 및 건축마무리 공사업,건설 및 공사업
1314,아이톡시,기타 전문 도매업,서비스업
1315,에스아이리소스,기타 화학제품 제조업,제조업
1316,젬백스링크,"섬유, 의복, 신발 및 가죽제품 소매업",도매 및 소매업
1317,폴라리스AI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1318,현대바이오,기타 화학제품 제조업,제조업
1319,에스피지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1320,토탈소프트,소프트웨어 개발 및 공급업,정보기술 및 통신업
1321,서호전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1322,파커스,반도체 제조업,제조업
1323,서울리거,기타 전문 도매업,서비스업
1324,홈센타홀딩스,기타 전문 도매업,서비스업
1325,아비코전자,전자부품 제조업,제조업
1326,큐렉소,기타 상품 전문 소매업,도매 및 소매업
1327,소니드,기타 화학제품 제조업,제조업
1328,우원개발,기반조성 및 시설물 축조관련 전문공사업,건설 및 공사업
1329,티사이언티픽,소프트웨어 개발 및 공급업,정보기술 및 통신업
1330,인선이엔티,폐기물 처리업,운송 및 물류업
1331,와이어블,전기 통신업,정보기술 및 통신업
1332,SM Life Design,기록매체 복제업,서비스업
1333,지어소프트,소프트웨어 개발 및 공급업,정보기술 및 통신업
1334,지엔코,봉제의복 제조업,제조업
1335,셀루메드,기초 의약물질 및 생물학적 제제 제조업,제조업
1336,KH바텍,전자부품 제조업,제조업
1337,알에프텍,통신 및 방송 장비 제조업,정보기술 및 통신업
1338,에스폴리텍,플라스틱제품 제조업,제조업
1339,이랜텍,전자부품 제조업,제조업
1340,ES큐브,생활용품 도매업,도매 및 소매업
1341,케이피티유,기타 금속 가공제품 제조업,제조업
1342,3S,전자부품 제조업,제조업
1343,화일약품,의약품 제조업,식품 및 음료제조업
1344,오상자이엘,소프트웨어 개발 및 공급업,정보기술 및 통신업
1345,농우바이오,작물 재배업,제조업
1346,케이엘넷,전기 통신업,정보기술 및 통신업
1347,에스티아이,특수 목적용 기계 제조업,제조업
1348,잉크테크,기타 화학제품 제조업,제조업
1349,대한뉴팜,의약품 제조업,식품 및 음료제조업
1350,씨티씨바이오,의약품 제조업,식품 및 음료제조업
1351,인탑스,통신 및 방송 장비 제조업,정보기술 및 통신업
1352,LS마린솔루션,전기 및 통신 공사업,건설 및 공사업
1353,피씨디렉트,기계장비 및 관련 물품 도매업,도매 및 소매업
1354,구영테크,자동차 신품 부품 제조업,제조업
1355,한국기업평가,기타 사업지원 서비스업,서비스업
1356,뉴보텍,플라스틱제품 제조업,제조업
1357,동양에스텍,1차 철강 제조업,제조업
1358,백금T&A,통신 및 방송 장비 제조업,정보기술 및 통신업
1359,파나케이아,특수 목적용 기계 제조업,제조업
1360,고려신용정보,기타 사업지원 서비스업,서비스업
1361,제일바이오,의약품 제조업,식품 및 음료제조업
1362,서울반도체,반도체 제조업,제조업
1363,아가방컴퍼니,생활용품 도매업,도매 및 소매업
1364,엔터파트너즈,플라스틱제품 제조업,제조업
1365,미코,반도체 제조업,제조업
1366,유신,"건축기술, 엔지니어링 및 관련 기술 서비스업",건설 및 공사업
1367,프럼파스트,플라스틱제품 제조업,제조업
1368,한국컴퓨터,전자부품 제조업,제조업
1369,대동스틸,1차 철강 제조업,제조업
1370,링네트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1371,큐로컴,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1372,팬스타엔터프라이즈,일반 목적용 기계 제조업,제조업
1373,한빛소프트,소프트웨어 개발 및 공급업,정보기술 및 통신업
1374,NHN KCP,기타 정보 서비스업,서비스업
1375,CNT85,건물설비 설치 공사업,건설 및 공사업
1376,금강철강,1차 철강 제조업,제조업
1377,룽투코리아,소프트웨어 개발 및 공급업,정보기술 및 통신업
1378,동아화성,고무제품 제조업,제조업
1379,비츠로시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1380,오리엔탈정공,일반 목적용 기계 제조업,제조업
1381,웰킵스하이텍,반도체 제조업,제조업
1382,리노공업,전자부품 제조업,제조업
1383,성우테크론,전자부품 제조업,제조업
1384,에스에프에이,특수 목적용 기계 제조업,제조업
1385,신화인터텍,플라스틱제품 제조업,제조업
1386,엑사이엔씨,실내건축 및 건축마무리 공사업,건설 및 공사업
1387,피에이치에이,자동차 신품 부품 제조업,제조업
1388,APS,기타 금융업,서비스업
1389,코위버,통신 및 방송 장비 제조업,정보기술 및 통신업
1390,성호전자,전자부품 제조업,제조업
1391,MIT,전자부품 제조업,제조업
1392,YW,상품 종합 도매업,도매 및 소매업
1393,삼영엠텍,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
1394,이니텍,소프트웨어 개발 및 공급업,정보기술 및 통신업
1395,에이디칩스,그외 기타 제품 제조업,제조업
1396,유진로봇,특수 목적용 기계 제조업,제조업
1397,태웅,기타 금속 가공제품 제조업,제조업
1398,경남제약,의약품 제조업,식품 및 음료제조업
1399,삼보모터스,자동차 신품 부품 제조업,제조업
1400,한컴위드,소프트웨어 개발 및 공급업,정보기술 및 통신업
1401,코미팜,의약품 제조업,식품 및 음료제조업
1402,프리엠스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1403,코나아이,소프트웨어 개발 및 공급업,정보기술 및 통신업
1404,메디콕스,선박 및 보트 건조업,제조업
1405,SGA,소프트웨어 개발 및 공급업,정보기술 및 통신업
1406,엑서지21,기타 전문 도매업,서비스업
1407,지에스이,연료용 가스 제조 및 배관공급업,제조업
1408,아이디스홀딩스,기타 전문 서비스업,서비스업
1409,코데즈컴바인,봉제의복 제조업,제조업
1410,안랩,소프트웨어 개발 및 공급업,정보기술 및 통신업
1411,YTN,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
1412,CMG제약,의약품 제조업,식품 및 음료제조업
1413,JYP Ent.,오디오물 출판 및 원판 녹음업,도매 및 소매업
1414,한국테크놀로지,가전제품 및 정보통신장비 소매업,도매 및 소매업
1415,KCC건설,건물 건설업,건설 및 공사업
1416,세동,자동차 신품 부품 제조업,제조업
1417,프로텍,특수 목적용 기계 제조업,제조업
1418,액토즈소프트,소프트웨어 개발 및 공급업,정보기술 및 통신업
1419,세코닉스,사진장비 및 광학기기 제조업,제조업
1420,바이넥스,의약품 제조업,식품 및 음료제조업
1421,오성첨단소재,플라스틱제품 제조업,제조업
1422,태양,기타 금속 가공제품 제조업,제조업
1423,씨티프라퍼티,상품 종합 도매업,도매 및 소매업
1424,유아이엘,전자부품 제조업,제조업
1425,대원미디어,기타 전문 도매업,서비스업
1426,중앙첨단소재,플라스틱제품 제조업,제조업
1427,CJ프레시웨이,음·식료품 및 담배 도매업,도매 및 소매업
1428,파인디앤씨,전자부품 제조업,제조업
1429,디지아이,컴퓨터 및 주변장치 제조업,제조업
1430,코텍,영상 및 음향기기 제조업,제조업
1431,한네트,전기 통신업,정보기술 및 통신업
1432,에스티큐브,기계장비 및 관련 물품 도매업,도매 및 소매업
1433,티에스넥스젠,특수 목적용 기계 제조업,제조업
1434,스카이문스테크놀로지,소프트웨어 개발 및 공급업,정보기술 및 통신업
1435,큐로홀딩스,음·식료품 및 담배 소매업,도매 및 소매업
1436,나라엠앤디,특수 목적용 기계 제조업,제조업
1437,에코바이오,사업시설 유지·관리 서비스업,서비스업
1438,에이텍,컴퓨터 및 주변장치 제조업,제조업
1439,대아티아이,기타 전기장비 제조업,정보기술 및 통신업
1440,캠시스,전자부품 제조업,제조업
1441,현대바이오랜드,기타 화학제품 제조업,제조업
1442,SFA반도체,반도체 제조업,제조업
1443,삼표시멘트,기타 비금속 광물제품 제조업,제조업
1444,HLB이노베이션,전자부품 제조업,제조업
1445,SM C&C,광고업,서비스업
1446,승일,기타 금속 가공제품 제조업,제조업
1447,조광ILI,일반 목적용 기계 제조업,제조업
1448,TPC,일반 목적용 기계 제조업,제조업
1449,코메론,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
1450,블레이드 Ent,고무제품 제조업,제조업
1451,삼화네트웍스,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
1452,성광벤드,1차 철강 제조업,제조업
1453,유라테크,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1454,삼현철강,1차 철강 제조업,제조업
1455,오픈베이스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1456,KCI,기타 화학제품 제조업,제조업
1457,라온시큐어,소프트웨어 개발 및 공급업,정보기술 및 통신업
1458,오로라,전문디자인업,서비스업
1459,금화피에스시,전기 및 통신 공사업,건설 및 공사업
1460,코다코,자동차 신품 부품 제조업,제조업
1461,인바디,의료용 기기 제조업,제조업
1462,고려제약,의약품 제조업,식품 및 음료제조업
1463,크린앤사이언스,일반 목적용 기계 제조업,제조업
1464,KD,건물 건설업,건설 및 공사업
1465,이글벳,기타 전문 도매업,서비스업
1466,아즈텍WB,"섬유제품 염색, 정리 및 마무리 가공업",제조업
1467,오리콤,광고업,서비스업
1468,위닉스,가정용 기기 제조업,제조업
1469,상지카일룸,건물 건설업,건설 및 공사업
1470,엔피케이,합성고무 및 플라스틱 물질 제조업,제조업
1471,삼천당제약,의약품 제조업,식품 및 음료제조업
1472,에이치케이,특수 목적용 기계 제조업,제조업
1473,정원엔시스,기계장비 및 관련 물품 도매업,도매 및 소매업
1474,한양이엔지,"건축기술, 엔지니어링 및 관련 기술 서비스업",건설 및 공사업
1475,누리플렉스,소프트웨어 개발 및 공급업,정보기술 및 통신업
1476,에쎈테크,일반 목적용 기계 제조업,제조업
1477,국순당,알코올음료 제조업,식품 및 음료제조업
1478,엘컴텍,전자부품 제조업,제조업
1479,이오테크닉스,특수 목적용 기계 제조업,제조업
1480,상상인,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1481,서울제약,의약품 제조업,식품 및 음료제조업
1482,HLB파나진,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
1483,나노엔텍,의료용 기기 제조업,제조업
1484,오공,기타 화학제품 제조업,제조업
1485,솔고바이오,의료용 기기 제조업,제조업
1486,비츠로테크,기타 금융업,서비스업
1487,코아시아,반도체 제조업,제조업
1488,정상제이엘에스,일반 교습 학원,서비스업
1489,진양제약,의약품 제조업,식품 및 음료제조업
1490,지니뮤직,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보기술 및 통신업
1491,진성티이씨,특수 목적용 기계 제조업,제조업
1492,현대에이치티,통신 및 방송 장비 제조업,정보기술 및 통신업
1493,삼아제약,의약품 제조업,식품 및 음료제조업
1494,파루,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1495,에스씨디,가정용 기기 제조업,제조업
1496,한국정보공학,기타 전문 도매업,서비스업
1497,디오,의료용 기기 제조업,제조업
1498,네오위즈홀딩스,소프트웨어 개발 및 공급업,정보기술 및 통신업
1499,다산네트웍스,통신 및 방송 장비 제조업,정보기술 및 통신업
1500,바이오스마트,전자부품 제조업,제조업
1501,우리기술,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1502,안국약품,의약품 제조업,식품 및 음료제조업
1503,세중,소프트웨어 개발 및 공급업,정보기술 및 통신업
1504,우리기술투자,기타 금융업,서비스업
1505,케이바이오,생활용품 도매업,도매 및 소매업
1506,HRS,합성고무 및 플라스틱 물질 제조업,제조업
1507,에스에이엠티,기계장비 및 관련 물품 도매업,도매 및 소매업
1508,위즈코프,연료 소매업,도매 및 소매업
1509,이건홀딩스,제재 및 목재 가공업,제조업
1510,파인디지털,통신 및 방송 장비 제조업,정보기술 및 통신업
1511,나이스정보통신,전기 통신업,정보기술 및 통신업
1512,SG&G,기타 운송관련 서비스업,운송 및 물류업
1513,아이에이,전자부품 제조업,제조업
1514,에스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1515,에스엠,오디오물 출판 및 원판 녹음업,도매 및 소매업
1516,쌍용정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1517,쎄니트,1차 철강 제조업,제조업
1518,대성미생물,의약품 제조업,식품 및 음료제조업
1519,에코플라스틱,자동차 신품 부품 제조업,제조업
1520,케이엠더블유,통신 및 방송 장비 제조업,정보기술 및 통신업
1521,화성밸브,일반 목적용 기계 제조업,제조업
1522,경남스틸,1차 철강 제조업,제조업
1523,마크로젠,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
1524,희림,"건축기술, 엔지니어링 및 관련 기술 서비스업",건설 및 공사업
1525,레드캡투어,여행사 및 기타 여행보조 서비스업,서비스업
1526,솔브레인홀딩스,회사 본부 및 경영 컨설팅 서비스업,서비스업
1527,에프에스티,전자부품 제조업,제조업
1528,코맥스,통신 및 방송 장비 제조업,정보기술 및 통신업
1529,EG,기초 화학물질 제조업,제조업
1530,감성코퍼레이션,기타 전문 도매업,서비스업
1531,성도이엔지,"건축기술, 엔지니어링 및 관련 기술 서비스업",건설 및 공사업
1532,제일테크노스,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
1533,무림SP,"펄프, 종이 및 판지 제조업",제조업
1534,세종텔레콤,전기 통신업,정보기술 및 통신업
1535,심텍홀딩스,통신 및 방송 장비 제조업,정보기술 및 통신업
1536,파세코,가정용 기기 제조업,제조업
1537,SGC이테크건설,건물 건설업,건설 및 공사업
1538,영풍정밀,일반 목적용 기계 제조업,제조업
1539,서희건설,건물 건설업,건설 및 공사업
1540,주성엔지니어링,특수 목적용 기계 제조업,제조업
1541,케이티알파,상품 중개업,서비스업
1542,다우데이타,기계장비 및 관련 물품 도매업,도매 및 소매업
1543,동진쎄미켐,기초 화학물질 제조업,제조업
1544,선광,기타 운송관련 서비스업,운송 및 물류업
1545,제이에스티나,귀금속 및 장신용품 제조업,제조업
1546,지더블유바이텍,기계장비 및 관련 물품 도매업,도매 및 소매업
1547,클라우드에어,반도체 제조업,제조업
1548,한국팩키지,"골판지, 종이 상자 및 종이용기 제조업",제조업
1549,삼지전자,통신 및 방송 장비 제조업,정보기술 및 통신업
1550,우리엔터프라이즈,상품 종합 도매업,도매 및 소매업
1551,네패스,반도체 제조업,제조업
1552,인지디스플레,전자부품 제조업,제조업
1553,위지트,특수 목적용 기계 제조업,제조업
1554,유니셈,특수 목적용 기계 제조업,제조업
1555,유성티엔에스,육상 여객 운송업,운송 및 물류업
1556,코리아나,기타 화학제품 제조업,제조업
1557,SCI평가정보,기타 정보 서비스업,서비스업
1558,골드앤에스,"서적, 잡지 및 기타 인쇄물 출판업",서비스업
1559,서울전자통신,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1560,대성창투,신탁업 및 집합투자업,서비스업
1561,예림당,"서적, 잡지 및 기타 인쇄물 출판업",서비스업
1562,CJ ENM,텔레비전 방송업,서비스업
1563,이지홀딩스,동물용 사료 및 조제식품 제조업,제조업
1564,기산텔레콤,통신 및 방송 장비 제조업,정보기술 및 통신업
1565,바른손이앤에이,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
1566,솔본,회사 본부 및 경영 컨설팅 서비스업,서비스업
1567,시공테크,전문디자인업,서비스업
1568,신일제약,의약품 제조업,식품 및 음료제조업
1569,조아제약,의약품 제조업,식품 및 음료제조업
1570,인성정보,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1571,그래디언트,무점포 소매업,도매 및 소매업
1572,동국산업,1차 철강 제조업,제조업
1573,매일홀딩스,낙농제품 및 식용빙과류 제조업,식품 및 음료제조업
1574,해성산업,기타 금융업,서비스업
1575,한국정보통신,전기 통신업,정보기술 및 통신업
1576,파라텍,특수 목적용 기계 제조업,제조업
1577,동성화인텍,기초 화학물질 제조업,제조업
1578,드래곤플라이,소프트웨어 개발 및 공급업,정보기술 및 통신업
1579,엠케이전자,전자부품 제조업,제조업
1580,엠투엔,기타 금속 가공제품 제조업,제조업
1581,제이씨현시스템,기계장비 및 관련 물품 도매업,도매 및 소매업
1582,포스코엠텍,1차 철강 제조업,제조업
1583,스페코,특수 목적용 기계 제조업,제조업
1584,좋은사람들,봉제의복 제조업,제조업
1585,모아텍,전자부품 제조업,제조업
1586,코웰패션,"섬유, 의복, 신발 및 가죽제품 소매업",도매 및 소매업
1587,코콤,통신 및 방송 장비 제조업,정보기술 및 통신업
1588,제룡전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1589,제이엠아이,기록매체 복제업,서비스업
1590,디지틀조선,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보기술 및 통신업
1591,바이온,음·식료품 및 담배 도매업,도매 및 소매업
1592,와이지-원,기타 금속 가공제품 제조업,제조업
1593,특수건설,토목 건설업,건설 및 공사업
1594,아이즈비전,전기 통신업,정보기술 및 통신업
1595,동일기연,전자부품 제조업,제조업
1596,소프트센,기타 정보 서비스업,서비스업
1597,원익,기계장비 및 관련 물품 도매업,도매 및 소매업
1598,원풍물산,봉제의복 제조업,제조업
1599,삼진,통신 및 방송 장비 제조업,정보기술 및 통신업
1600,더라미,"해체, 선별 및 원료 재생업",운송 및 물류업
1601,비트컴퓨터,소프트웨어 개발 및 공급업,정보기술 및 통신업
1602,엠젠솔루션,기계장비 및 관련 물품 도매업,도매 및 소매업
1603,판타지오,창작 및 예술관련 서비스업,서비스업
1604,유비케어,소프트웨어 개발 및 공급업,정보기술 및 통신업
1605,피델릭스,반도체 제조업,제조업
1606,TJ미디어,영상 및 음향기기 제조업,제조업
1607,휴맥스홀딩스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1608,삼일,도로 화물 운송업,운송 및 물류업
1609,뉴인텍,자동차 신품 부품 제조업,제조업
1610,오스템,자동차 신품 부품 제조업,제조업
1611,에스유홀딩스,상품 종합 도매업,도매 및 소매업
1612,피에스케이홀딩스,특수 목적용 기계 제조업,제조업
1613,세보엠이씨,건물설비 설치 공사업,건설 및 공사업
1614,한일단조,자동차 신품 부품 제조업,제조업
1615,양지사,인쇄 및 인쇄관련 산업,서비스업
1616,원익홀딩스,특수 목적용 기계 제조업,제조업
1617,한글과컴퓨터,소프트웨어 개발 및 공급업,정보기술 및 통신업
1618,메이슨캐피탈,기타 금융업,서비스업
1619,광무,통신 및 방송 장비 제조업,정보기술 및 통신업
1620,대호특수강,1차 철강 제조업,제조업
1621,HLB,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
1622,팜스토리,동물용 사료 및 조제식품 제조업,제조업
1623,삼보판지,"펄프, 종이 및 판지 제조업",제조업
1624,삼목에스폼,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
1625,에이스침대,가구 제조업,제조업
1626,원익큐브,기타 전문 도매업,서비스업
1627,리드코프,기타 전문 도매업,서비스업
1628,유니슨,일반 목적용 기계 제조업,제조업
1629,아난티,일반 및 생활 숙박시설 운영업,서비스업
1630,광진실업,1차 철강 제조업,제조업
1631,인터엠,영상 및 음향기기 제조업,제조업
1632,성우하이텍,자동차 신품 부품 제조업,제조업
1633,대신정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
1634,서부T&D,일반 및 생활 숙박시설 운영업,서비스업
1635,동신건설,토목 건설업,건설 및 공사업
1636,동화기업,나무제품 제조업,제조업
1637,신라에스지,음·식료품 및 담배 도매업,도매 및 소매업
1638,케이씨피드,동물용 사료 및 조제식품 제조업,제조업
1639,한탑,"곡물가공품, 전분 및 전분제품 제조업",식품 및 음료제조업
1640,한국선재,1차 철강 제조업,제조업
1641,DH오토웨어,영상 및 음향기기 제조업,제조업
1642,시노펙스,전자부품 제조업,제조업
1643,PN풍년,생활용품 도매업,도매 및 소매업
1644,삼천리자전거,생활용품 도매업,도매 및 소매업
1645,메디앙스,기타 화학제품 제조업,제조업
1646,KBI메탈,1차 비철금속 제조업,제조업
1647,경창산업,자동차 신품 부품 제조업,제조업
1648,대륙제관,기타 금속 가공제품 제조업,제조업
1649,동원개발,건물 건설업,건설 및 공사업
1650,세원물산,자동차 신품 부품 제조업,제조업
1651,이화전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
1652,케이피에프,기타 금속 가공제품 제조업,제조업
1653,KB오토시스,자동차 신품 부품 제조업,제조업
1654,신원종합개발,건물 건설업,건설 및 공사업
1655,흥구석유,기타 전문 도매업,서비스업
1656,대한약품,의약품 제조업,식품 및 음료제조업
1657,이화공영,건물 건설업,건설 및 공사업
1658,풍국주정,알코올음료 제조업,식품 및 음료제조업
1659,대림제지,기타 종이 및 판지 제품 제조업,제조업
1660,대한광통신,절연선 및 케이블 제조업,제조업
1661,동일철강,1차 철강 제조업,제조업
1662,플레이위드,소프트웨어 개발 및 공급업,정보기술 및 통신업
1663,한국캐피탈,기타 금융업,서비스업
1664,한일사료,동물용 사료 및 조제식품 제조업,제조업
1665,모베이스전자,자동차 신품 부품 제조업,제조업
1666,CNH,기타 금융업,서비스업
1667,국영지앤엠,유리 및 유리제품 제조업,제조업
1668,유진기업,"시멘트, 석회, 플라스터 및 그 제품 제조업",건설 및 공사업
1669,제이스코홀딩스,1차 철강 제조업,제조업
1670,보성파워텍,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
1671,브이티,기타 화학제품 제조업,제조업
1672,태광,1차 철강 제조업,제조업
1673,와이엠,기타 금속 가공제품 제조업,제조업
1674,신라섬유,가전제품 및 정보통신장비 소매업,도매 및 소매업
1675,원일특강,1차 철강 제조업,제조업
1676,서한,건물 건설업,건설 및 공사업
1677,바른손,생활용품 도매업,도매 및 소매업
1678,부방,부동산 임대 및 공급업,서비스업
1679,대명소노시즌,상품 종합 도매업,도매 및 소매업
1680,CBI,자동차 신품 부품 제조업,제조업
1681,대양제지,"펄프, 종이 및 판지 제조업",제조업
1682,유니크,자동차 신품 부품 제조업,제조업
1683,진로발효,알코올음료 제조업,식품 및 음료제조업
1684,삼보산업,1차 비철금속 제조업,제조업
1685,푸드웰,"과실, 채소 가공 및 저장 처리업",식품 및 음료제조업
1686,푸른저축은행,은행 및 저축기관,서비스업
1687,피제이전자,의료용 기기 제조업,제조업
1688,베뉴지,종합 소매업,도매 및 소매업
1689,엠에스씨,기타 식품 제조업,식품 및 음료제조업
1690,대동금속,금속 주조업,제조업
1691,광림,자동차용 엔진 및 자동차 제조업,제조업
1692,대원산업,자동차 신품 부품 제조업,제조업
1693,큐캐피탈,기타 금융업,서비스업
1694,한국가구,생활용품 도매업,도매 및 소매업
1695,디모아,기타 전문 도매업,서비스업
1696,중앙에너비스,기타 전문 도매업,서비스업
1697,삼륭물산,"골판지, 종이 상자 및 종이용기 제조업",제조업
1698,경동제약,의약품 제조업,식품 및 음료제조업
1699,원풍,플라스틱제품 제조업,제조업
1700,네이처셀,기초 의약물질 및 생물학적 제제 제조업,제조업
1701,삼일기업공사,건물 건설업,건설 및 공사업
1702,일지테크,자동차 신품 부품 제조업,제조업
1703,한일화학,기초 화학물질 제조업,제조업
1704,한국알콜,기타 화학제품 제조업,제조업
1705,대주산업,동물용 사료 및 조제식품 제조업,제조업
1706,글로본,상품 종합 도매업,도매 및 소매업
1707,세명전기,기타 금속 가공제품 제조업,제조업
1708,에이티넘인베스트,신탁업 및 집합투자업,서비스업
1709,대동기어,특수 목적용 기계 제조업,제조업
1710,피에스텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
1711,코센,1차 철강 제조업,제조업
1712,카스,기계장비 및 관련 물품 도매업,도매 및 소매업
1713,하이록코리아,1차 철강 제조업,제조업
1714,SBI인베스트먼트,신탁업 및 집합투자업,서비스업
1715,리더스 기술투자,신탁업 및 집합투자업,서비스업
1716,엠벤처투자,신탁업 및 집합투자업,서비스업
1717,모헨즈,"시멘트, 석회, 플라스터 및 그 제품 제조업",건설 및 공사업
